accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
4,Beacon Hill,9,Entire home/apt,2,1,2,2,4,689,85,3,300,1,134.5403
4,Lake City,9,Entire home/apt,1,1,1,2,4,936,40,2,1125,1,126.238686
2,Northgate,1,Entire home/apt,1,1,1,1,4,1460,150,5,120,0,179.07257
2,Downtown,1,Entire home/apt,1,1,1,1,4,883,75,1,30,0,155.44864
2,Other neighborhoods,11,Private room,1,1,1,1,4,569,0,1,3,0,55.337162
6,Queen Anne,18,Entire home/apt,6,1,2,3,4,528,77,1,28,0,197.55344
4,Northgate,11,Entire home/apt,1,1,1,1,4,984,30,2,1125,0,98.61984
6,Downtown,7,Entire home/apt,6,1,2,3,4,326,135,1,365,1,173.13847
8,Other neighborhoods,11,Entire home/apt,1,2,3,4,4,560,99,2,1124,0,205.53549
5,Lake City,11,Private room,2,1,1,3,4,1354,15,1,93,1,98.43188
3,Other neighborhoods,9,Entire home/apt,1,1,1,1,4,1091,30,1,5,1,84.283165
1,Capitol Hill,11,Shared room,1,1,1,1,4,1577,15,1,21,1,36.457592
2,Other neighborhoods,1,Entire home/apt,2,1,1,1,4,366,25,2,14,1,94.086586
4,Other neighborhoods,11,Entire home/apt,1,1,1,2,4,558,70,30,1125,1,142.74478
4,Central Area,1,Entire home/apt,1,1,2,2,4,167,65,3,30,1,130.70866
5,Downtown,1,Entire home/apt,1,2,2,3,4,913,150,2,1125,0,258.5657
2,Downtown,1,Private room,1,1,0,1,4,143,75,30,365,0,136.76144
4,Other neighborhoods,1,Entire home/apt,1,1,1,2,4,630,65,1,1125,0,108.6482
5,Downtown,1,Entire home/apt,1,2,2,3,4,913,150,4,1125,0,254.53111
2,Capitol Hill,11,Private room,1,1,1,1,4,324,30,1,1125,1,71.56436
4,West Seattle,11,Entire home/apt,2,1,2,5,4,193,95,2,365,0,139.24365
4,Delridge,11,Entire home/apt,2,1,0,1,4,577,48,1,15,1,93.56365
5,Capitol Hill,1,Entire home/apt,1,1,1,3,4,1518,0,1,366,1,113.42385
2,Queen Anne,11,Private room,1,2,1,1,4,81,25,1,21,1,71.72645
4,Ballard,11,Entire home/apt,4,1,2,2,4,649,204,2,1125,1,164.7047
6,Other neighborhoods,11,Entire home/apt,4,1,2,2,4,1077,75,1,14,0,145.42749
2,Cascade,15,Entire home/apt,1,1,1,1,4,297,75,2,1125,1,129.39183
6,Magnolia,11,Entire home/apt,6,2,2,2,4,1163,130,2,30,1,168.49991
14,Other neighborhoods,11,Entire home/apt,14,3,6,8,4,359,350,1,1125,1,572.9978
3,Capitol Hill,11,Entire home/apt,1,1,1,1,4,1485,40,2,30,0,101.59137
2,Queen Anne,11,Private room,1,2,1,1,4,75,25,1,21,1,71.72645
2,Downtown,7,Entire home/apt,1,1,0,1,3,537,80,2,1125,0,141.48828
2,Central Area,9,Entire home/apt,2,1,0,1,4,608,40,1,1125,1,118.43848
4,Downtown,7,Entire home/apt,2,1,1,1,4,620,100,2,1125,0,338.49658
4,Other neighborhoods,11,Entire home/apt,2,1,1,2,4,1264,40,2,120,1,98.7679
2,Delridge,11,Private room,1,1,1,1,4,1449,40,1,14,0,46.450226
2,Capitol Hill,1,Entire home/apt,1,1,1,1,4,1582,65,2,30,1,119.40619
6,Other neighborhoods,11,Entire home/apt,5,1,3,4,4,1455,25,2,1125,0,142.27803
2,Cascade,15,Entire home/apt,1,1,1,1,4,297,75,2,1125,1,129.39183
2,Downtown,1,Entire home/apt,1,1,0,1,4,1255,20,3,5,0,111.35479
6,Ballard,11,Entire home/apt,2,2,3,4,4,1032,100,2,31,1,189.2065
6,Ballard,18,Entire home/apt,1,2,3,3,4,858,295,3,1124,1,180.85707
